Driver,Date,Shift_ID,Start_Balance,Refill_Amount,Dispensed_Amount,End_Balance,Note
คนขับรถเบอร์ 5 - สมาน,2026-01-03,2968b5e8-2030-4650-a397-763e755db944,456.10,1580.94,1382.40,654.64,
คนขับรถเบอร์ 5 - สมาน,2026-01-04,18019279-16cd-4be5-8ef4-9556a6f23cd4,654.64,3162.45,1805.06,2012.03,
คนขับรถเบอร์ 5 - สมาน,2026-01-05,682d1276-2a1b-4ef3-89dc-3ea52ede1512,2012.03,567.35,2537.21,42.17,
คนขับรถเบอร์ 5 - สมาน,2026-01-06,05886589-2844-4f48-92fb-1038b1cc3752,42.17,1969.86,3436.96,-1424.93,
คนขับรถเบอร์ 5 - สมาน,2026-01-07,d1acf96c-276c-4d72-9083-dec92a91e5fe,-1424.93,5488.93,3619.55,444.45,
คนขับรถเบอร์ 5 - สมาน,2026-01-08,78c7fbd2-4df8-4d17-a3cb-e1f63f87edaa,444.45,2384.78,2654.59,174.64,
คนขับรถเบอร์ 5 - สมาน,2026-01-09,5a177cd7-8545-4aad-8f72-68e22d00aea9,174.64,1281.14,2611.62,-1155.84,
คนขับรถเบอร์ 5 - สมาน,2026-01-10,07692dd2-b3e2-466b-a1a8-363af6c5a05c,-1155.84,3556.22,3447.06,-1046.68,
คนขับรถเบอร์ 5 - สมาน,2026-01-11,c250d5ca-7258-475f-8f99-2adf8604524d,-1046.68,3038.35,2869.37,-877.70,
คนขับรถเบอร์ 5 - สมาน,2026-01-12,1ccd8782-ce81-49ae-ab68-4da656c0771c,-877.70,4427.55,3104.77,445.08,
คนขับรถเบอร์ 5 - สมาน,2026-01-13,eb1c6ef0-a154-4b10-bf59-92639c41681a,445.08,3234.88,3617.73,62.23,
คนขับรถเบอร์ 5 - สมาน,2026-01-14,85b584f1-523e-4143-8622-191e03be75ba,62.23,2731.71,2735.70,58.24,
คนขับรถเบอร์ 5 - สมาน,2026-01-15,bd72d505-d97d-4e8c-b22a-97a5838d4ed5,58.24,3912.64,3902.61,68.27,
คนขับรถเบอร์ 5 - สมาน,2026-01-16,518c4176-92a4-4d38-8e93-48e558335b3f,68.27,1230.74,2822.60,-1523.59,
คนขับรถเบอร์ 5 - สมาน,2026-01-17,182c3cc7-a9cf-4ca9-bdd3-ac5e3988d151,-1523.59,4517.68,2548.22,445.87,
คนขับรถเบอร์ 5 - สมาน,2026-01-18,2d8e7390-4e25-4463-adf1-b7fdc0412ab0,445.87,2685.18,3553.22,-422.17,
คนขับรถเบอร์ 5 - สมาน,2026-01-19,6d7ef24a-c541-4770-9d5f-d557c957ba99,-422.17,2259.24,2956.72,-1119.65,
คนขับรถเบอร์ 5 - สมาน,2026-01-20,24fb98a2-0af3-49d1-b5b4-471a58556887,-1119.65,4325.99,2760.47,445.87,
คนขับรถเบอร์ 5 - สมาน,2026-01-21,ec949179-92d7-42ac-8b74-42e6f3fd39f6,445.87,1635.32,3554.15,-1472.96,
คนขับรถเบอร์ 5 - สมาน,2026-01-22,74a3cf4b-1703-4780-81eb-416d8713977c,-1472.96,2520.57,2469.57,-1421.96,
คนขับรถเบอร์ 5 - สมาน,2026-01-23,6b5e798b-e067-4d5b-bc35-3e129d24836c,-1421.96,4924.88,3936.81,-433.89,
